time,high,low,open,volumefrom,volumeto,close
2025-06-18,1.157,1.045,1.098,46057447.95,51728133.06,1.123
2025-06-19,1.144,0.9933,1.123,33489252.41,34694865.5,1.036
2025-06-20,1.059,0.8835,1.036,60381895.01,56191391.5,0.9306
2025-06-21,0.9484,0.806,0.9306,48720478.32,44126137.21,0.9057
2025-06-22,0.9395,0.7988,0.9057,83348451.8,77474769.71,0.9295
2025-06-23,1.068,0.8544,0.9295,86447829.62,90341785.66,1.045
2025-06-24,1.091,1.0,1.045,50733487.09,52407692.16,1.033
2025-06-25,1.127,0.9768,1.033,46297073.75,46134825.66,0.9965
2025-06-26,1.029,0.9392,0.9965,37469003.9,35471905.99,0.9467
2025-06-27,1.029,0.9358,0.9467,37256441.93,37517237.02,1.007
2025-06-28,1.119,1.001,1.007,19659815.27,21566817.35,1.097
2025-06-29,1.183,1.081,1.097,26625209.97,30725492.31,1.154
2025-06-30,1.187,1.103,1.154,31458309.13,35956847.34,1.143
2025-07-01,1.168,1.018,1.143,32316988.72,32963942.52,1.02
2025-07-02,1.194,1.004,1.02,52982619.63,60771064.72,1.147
2025-07-03,1.275,1.129,1.147,40628251.35,49525838.4,1.219
2025-07-04,1.252,1.133,1.219,27574330.93,32454987.5,1.177
2025-07-05,1.222,1.155,1.177,11842881.39,13950914.28,1.178
2025-07-06,1.221,1.151,1.178,18178138.42,21268421.95,1.17
2025-07-07,1.215,1.065,1.17,34558205.77,38048584.55,1.101
2025-07-08,1.12,1.034,1.101,39415912.09,41662619.08,1.057
2025-07-09,1.124,1.036,1.057,47722452.5,52971922.28,1.11
2025-07-10,1.336,1.097,1.11,61399991.89,81170789.28,1.322
2025-07-11,1.394,1.241,1.322,60105605.91,77295809.2,1.286
2025-07-12,1.294,1.176,1.286,29993677.07,37342127.95,1.245
2025-07-13,1.328,1.22,1.245,26951450.35,34524807.9,1.281
2025-07-14,1.425,1.276,1.281,51501855.12,66488894.96,1.291
2025-07-15,1.301,1.176,1.291,52852994.61,65484860.32,1.239
2025-07-16,1.447,1.181,1.24,38180740.57,49772577.88,1.438
2025-07-17,1.578,1.333,1.438,54809476.15,80676261.26,1.404
2025-07-18,1.575,1.309,1.404,37941031.67,54524711.8,1.351
2025-07-19,1.479,1.325,1.351,19097830.56,26854991.51,1.42
2025-07-20,1.526,1.386,1.42,24510228.23,35936863.77,1.419
2025-07-21,1.629,1.395,1.419,43794858.29,67532996.48,1.599
2025-07-22,1.693,1.523,1.599,54801733.84,87987015.54,1.668
2025-07-23,1.694,1.462,1.668,35102608.25,55873312.12,1.521
2025-07-24,1.558,1.312,1.521,36880667.9,52124288.43,1.318
2025-07-25,1.387,1.248,1.318,39102576.37,51622494.59,1.369
2025-07-26,1.395,1.317,1.369,14591616.63,19824303.17,1.325
2025-07-27,1.385,1.297,1.325,16404910.4,22029566.61,1.345
2025-07-28,1.424,1.109,1.345,43212570.69,54801978.5,1.157
2025-07-29,1.195,1.071,1.157,52082464.96,58654387.93,1.092
2025-07-30,1.103,1.001,1.092,36962157.19,39408864.8,1.067
2025-07-31,1.089,0.9719,1.067,42512476.61,43579204.65,0.9799
2025-08-01,1.038,0.8708,0.9799,63535428.1,61591861.03,0.9149
2025-08-02,0.9677,0.8734,0.9149,25081957.11,23021483.42,0.8977
2025-08-03,0.9478,0.8826,0.8977,20085524.71,18545521.18,0.9274
2025-08-04,1.039,0.9252,0.9274,40465604.67,39505330.02,1.028
2025-08-05,1.033,0.9029,1.028,41707887.58,40504912.35,0.9833
2025-08-06,0.9854,0.9063,0.9833,31451885.15,29816880.0,0.9379
2025-08-07,1.05,0.9181,0.9379,35871217.72,35281137.87,1.046
2025-08-08,1.072,0.9873,1.046,33461135.76,34510194.51,1.054
2025-08-09,1.141,1.034,1.054,33576289.61,36703702.48,1.092
2025-08-10,1.146,1.049,1.092,23771893.22,25918217.63,1.086
2025-08-11,1.113,0.8516,1.086,66976605.47,65402337.11,0.8805
2025-08-12,1.072,0.8321,0.8805,110179266.49,102974382.26,1.059
2025-08-13,1.144,1.028,1.059,98351279.44,107326830.06,1.125
2025-08-14,1.182,0.9306,1.125,88466863.42,94763866.96,0.9846
2025-08-15,1.063,0.9132,0.9846,50074712.71,49260136.95,0.9327
2025-08-16,0.9743,0.9206,0.9327,22980873.09,21723445.16,0.9412
2025-08-17,1.013,0.9262,0.9412,38147610.01,36886034.76,0.9641
2025-08-18,0.9683,0.8898,0.9641,44511415.93,40782317.13,0.9078
2025-08-19,0.9366,0.8497,0.9078,46632539.41,41713341.14,0.8525
2025-08-20,0.9282,0.8498,0.8525,40671624.59,36218783.49,0.9171
2025-08-21,0.9355,0.8582,0.9171,26355776.34,23492622.38,0.8683
2025-08-22,0.9941,0.8082,0.8683,62867542.59,57330755.21,0.9785
2025-08-23,0.9854,0.9201,0.9783,55294131.5,52651335.77,0.9522
2025-08-24,0.9941,0.904,0.9516,46186186.25,43764431.13,0.9426
2025-08-25,0.9843,0.7545,0.9426,56510967.11,48788204.46,0.7829
2025-08-26,0.8428,0.7727,0.7829,48182252.58,38229054.12,0.8095
2025-08-27,0.8412,0.7905,0.8095,45134049.99,36840637.68,0.8083
2025-08-28,0.8587,0.7945,0.8083,31939799.78,26631911.45,0.8519
2025-08-29,0.8578,0.7329,0.8519,103328690.5,79542425.95,0.7698
2025-08-30,0.8054,0.757,0.7698,46122628.15,36270170.61,0.7864
2025-08-31,0.8048,0.7516,0.7864,43184047.91,32489587.54,0.7524
2025-09-01,0.7744,0.6844,0.7524,79585891.1,57063083.92,0.717
2025-09-02,0.8038,0.7125,0.717,90552120.4,71880273.17,0.7938
2025-09-03,0.8188,0.7818,0.7938,60600817.5,48080688.6,0.7934
2025-09-04,0.8017,0.7408,0.7934,62998226.51,47116373.61,0.7479
2025-09-05,0.7792,0.728,0.7479,77129629.28,57716101.59,0.7483
2025-09-06,0.7581,0.726,0.7483,26217732.21,19162540.47,0.7309
2025-09-07,0.7708,0.7283,0.7306,23322396.64,17296749.63,0.7579
2025-09-08,0.8295,0.7499,0.7579,53340347.05,42786866.37,0.8191
2025-09-09,0.8844,0.7964,0.8191,38575405.67,32048715.32,0.8318
2025-09-10,0.9009,0.8232,0.8318,40286053.6,34897149.46,0.8775
2025-09-11,0.8977,0.8511,0.8772,70948928.87,63492196.45,0.8949
2025-09-12,0.9271,0.8644,0.8949,73319008.67,66148409.62,0.9022
2025-09-13,0.9717,0.8931,0.9027,40371019.05,37697270.67,0.952
2025-09-14,0.9567,0.8648,0.952,26760751.31,24121749.72,0.8703
2025-09-15,0.8982,0.7961,0.87,79155289.15,65540579.42,0.828
2025-09-16,0.8547,0.8039,0.828,58931556.82,49714661.33,0.8436
2025-09-17,0.9313,0.8171,0.8436,79801651.0,73960170.15,0.9268
2025-09-18,0.9562,0.8904,0.9272,35328615.44,32667653.11,0.9373
